                                         feature  importance
                away_rolling_runs_scored_mean_30    0.112484
               away_rolling_hits_allowed_mean_15    0.095334
                     h_team_hist_HA_runs_for_avg    0.086922
                home_rolling_runs_scored_mean_60    0.084511
                    home_rolling_hits_for_std_30    0.081561
               home_rolling_runs_scored_mean_100    0.080009
                          a_team_hist_HA_win_pct    0.069789
               away_rolling_runs_allowed_mean_60    0.066996
                            matchup_home_win_pct    0.057963
                home_rolling_runs_allowed_std_60    0.057847
                            matchup_avg_run_diff    0.056683
               home_rolling_runs_allowed_mean_30    0.056456
               home_rolling_hits_allowed_mean_30    0.055555
                 a_team_hist_HA_runs_against_avg    0.053761
                home_rolling_hits_allowed_std_15    0.051098
                   home_rolling_hits_for_mean_15    0.051041
                 home_rolling_runs_scored_std_15    0.050120
        away_rolling_errors_by_opponent_mean_100    0.048802
               away_rolling_runs_scored_mean_100    0.044126
                away_rolling_hits_allowed_std_15    0.039364
                      matchup_avg_home_team_runs    0.039095
              home_rolling_hits_allowed_mean_100    0.037293
         home_rolling_errors_by_opponent_mean_60    0.036883
 home_rolling_errors_by_opponent_mean_15_imputed    0.036043
 home_rolling_errors_by_opponent_mean_30_imputed    0.036043
 home_rolling_errors_by_opponent_mean_60_imputed    0.036043
home_rolling_errors_by_opponent_mean_100_imputed    0.036043
                          h_team_hist_HA_win_pct    0.035497
               away_rolling_runs_allowed_mean_15    0.035254
                  h_team_hist_HA_win_pct_imputed    0.030940
                  a_team_hist_HA_win_pct_imputed    0.030940
         a_team_hist_HA_runs_against_avg_imputed    0.030940
                                  rest_days_home    0.030636
                away_rolling_runs_allowed_std_15    0.029733
               home_rolling_runs_allowed_mean_15    0.028916
           away_rolling_errors_committed_mean_60    0.026590
         home_rolling_errors_by_opponent_mean_30    0.026235
              away_rolling_runs_allowed_mean_100    0.026136
                  away_rolling_hits_for_mean_100    0.024999
                away_rolling_runs_scored_mean_15    0.020149
            home_rolling_errors_committed_std_15    0.020028
                    home_rolling_hits_for_std_15    0.015649
         away_rolling_errors_by_opponent_mean_30    0.015000
                away_rolling_runs_scored_mean_60    0.014046
                 h_team_hist_HA_runs_against_avg    0.012593
               home_rolling_hits_allowed_mean_60    0.010411
                home_rolling_runs_scored_mean_15    0.010132
           away_rolling_errors_committed_mean_15    0.007204
         away_rolling_errors_by_opponent_std_100    0.004663
                 away_rolling_runs_scored_std_30    0.000307
